Gene,RPKM,mRNA per cell cycle,Time to refire
ycbJ,42.7687,4.174072874,431.2334869
tboW,585.2400224,17.74670536,101.427277
rtpA,45.90723235,4.252598953,423.270574
ycbK,47.6263,4.295610026,419.0324515
ycbL,14.24657232,3.460449239,520.1636769
ycbM,19.9473,3.603081446,499.5723874
ycbN,28.0168,3.804980336,473.0642056
ycbO,26.34265353,3.763093191,478.3299027
,585.2400224,17.74670536,101.427277
ycbP,108.1785821,5.810628124,309.777181
cwlJ,3.810744449,3.199344826,562.6151909
ycbR,17.1739,3.533690978,509.3824025
yczK,1.99217672,3.153844262,570.7320498
phoD,2.15261,3.157858302,570.0065765
tatAD,585.2400224,17.74670536,101.427277
tatCD,585.2400224,17.74670536,101.427277
pcp,7.32893,3.287369829,547.5501978
ycbU,8.38754,3.313856251,543.1738325
lmrB,155.347,6.99078194,257.4819263
lmrA,161.976,7.15663952,251.5146941
ansZ,5.593585659,3.243951513,554.8788238
estA,15.9937,3.504162374,513.6748266
yczC,16.91394777,3.527186973,510.3216851
yccF,399.502,13.09954004,137.4094048
natK,31.1861,3.884276222,463.4067963
natR,26.1653,3.758655806,478.8946083
natA,62.1746,4.659608492,386.2985491
natB,62.8022,4.675311044,385.0011225
yccK,33.44446201,3.940780439,456.7623159
ycdA,118.5871311,6.07105002,296.4890742
,585.2400224,17.74670536,101.427277
ycdB,19.4083,3.589595666,501.4492348
ycdC,31.1178,3.882567356,463.6107593
cwlK,40.0936,4.107141872,438.2609747
rapJ,94.9049,5.478520598,328.5558515
ycdF,44.463,4.21646426,426.8979621
ycdG,38.5103,4.067527706,442.5292537
znuA,180.615,7.6229873,236.1279022
znuC,90.2774,5.362740548,335.6492793
znuB,77.269,5.03727038,357.3363874
yceB,22.8753,3.676340006,489.6173904
yceC,234.0085289,8.958893393,200.9176715
yceD,317.642,11.05140284,162.87525
yceE,356.721,12.02915942,149.6363908
yceF,402.109,13.16476718,136.7285859
yceG,63.3352,4.688646704,383.906085
yceH,85.8508,5.251987016,342.7274276
niaP,585.2400224,17.74670536,101.427277
yceJ,6.19216,3.258927843,552.3288905
yceK,71.75522375,4.899315698,367.3982472
opuAA,419.968,13.61159936,132.2401543
opuAB,498.343,15.57254186,115.5880662
opuAC,536.789,16.53446078,108.8635441
amhX,5.13295,3.232426409,556.857225
ycgA,4.28588,3.211232718,560.5324056
ycgB,48.0803,4.306969106,417.927307
amyE,61.7864,4.649895728,387.1054547
lctE,585.2400224,17.74670536,101.427277
lctP,10.7381,3.372667262,533.7022185
mdr,213,8.43326,213.4405912
ycgE,63.0863619,4.682420775,384.4165415
ycgF,66.3668,4.764497336,377.7943135
ycgG,52.07102472,4.406817038,408.458074
ycgH,4.44423,3.215194635,559.8416906
ycgI,1.226087939,3.13467672,574.2218929
nadE,459.378,14.59763756,123.3076238
tmrB,23.9464,3.703138928,486.0741212
aroK,57.347576,4.538836352,396.5774178
ycgJ,6.594827922,3.269002595,550.6266661
ycgK,25.3813,3.739040126,481.4069759
cah,31.8673,3.901319846,461.3823196
ycgL,33.4736,3.941509472,456.6778319
putB,1.2508,3.135295016,574.1086535
putC,39.63841854,4.095753232,439.4796019
putP,144.389,6.71661278,267.9922245
putR,33.6771,3.946601042,456.0886649
ycgQ,95.1826,5.485468652,328.1396931
ycgR,78.1934,5.060398868,355.703186
ycgS,18.6241,3.569974982,504.2052141
ffoR,585.2400224,17.74670536,101.427277
nasF,73.9458,4.954123916,363.3336651
nasE,59.31161157,4.587976521,392.3298194
nasD,6.07517,3.256000753,552.8254249
nasC,0.927713,3.127211379,575.5926868
nasB,1.95006,3.152790501,570.9228061
nasA,11.5242,3.392335484,530.6078979
folEB,1.62834,3.144741067,572.3841683
yciB,1.27344,3.135861469,574.0049482
yczL,1.62711,3.144710292,572.3897697
zinU,585.2400224,17.74670536,101.427277
yckA,221.247,8.63959994,208.3429803
yckB,237.3919115,9.043545626,199.0369789
,585.2400224,17.74670536,101.427277
yckC,63.1525,4.68407555,384.280736
yckD,3.00614,3.179213623,566.1777451
bglC,21.4456,3.640568912,494.4282181
nin,137.4062503,6.541904383,275.1492371
nucA,188.207,7.81293914,230.38705
tlpC,40.8957,4.127210414,436.1299327
hxlB,61.1208,4.633242416,388.4968319
hxlA,57.9245,4.55327099,395.3202003
hxlR,23.33334148,3.687800204,488.0958567
srfAA,123.737,6.19989974,290.3272755
srfAB,135.21,6.4869542,277.4799921
comS,585.2400224,17.74670536,101.427277
srfAC,114.673,5.97311846,301.3501259
srfAD,118.4911802,6.068649329,296.6063621
srfT,585.2400224,17.74670536,101.427277
ycxB,22.02069425,3.65495777,492.4817503
ycxC,8.85091,3.325449768,541.2801652
ycxD,25.7564,3.748425128,480.2016683
sfpAc,585.2400224,17.74670536,101.427277
sfpAn,585.2400224,17.74670536,101.427277
yczE,188.737581,7.826214277,229.9962583
tcyC,239.685,9.1009187,197.7822305
tcyB,257.369,9.54337238,188.6125709
